Marca,LINHA,FRAGRANCIA,CATEGORIA,CAIXA/KIT/UNIDADE,QTDE,VALOR
Natura,Todo Dia,Alecrim e Sálvia,Sabonete,Caixa c/5,5,"34,9"
Natura,Todo Dia,Macadâmia,Sabonete,Caixa c/5,3,"34,9"
Natura,Todo Dia,Jabuticaba Vegetal,Sabonete,Caixa c/5,3,"34,9"
Natura,Todo Dia,Amora e Flor de Pêssego,Sabonete,Caixa c/5,2,"34,9"
Natura,Todo Dia,Chá de Camomila e Lavanda,Sabonete,Caixa c/5,2,"34,9"
Natura,Todo Dia,Ameixa e Flor de Baunilha,Sabonete,Caixa c/5,1,"34,9"
Natura,Todo Dia,Tâmara e Canela,Sabonete,Caixa c/5,1,"34,9"
Natura,Todo Dia,Romã e Flor de Amora,Sabonete,Caixa c/5,4,"34,9"
Natura,Todo Dia,Cereja e Avelã,Sabonete,Caixa c/5,1,"34,9"
Natura,Todo Dia,Celebre a Vida,Sabonete,Caixa c/5,3,"34,9"
Natura,Todo Dia,Com Carinho,Sabonete,Caixa c/5,3,"34,9"
Avon,Encanto,Encanto,Sabonete,Caixa c/4,4,"27,99"
Natura,Todo Dia,Boas Vibrações,Sabonete,Caixa c/6,1,"42,9"
Natura,Todo Dia,Frutas Vermelhas,Sabonete,Caixa c/6,2,"42,9"
Natura,Todo Dia,Corações na Caixa,Sabonete,Caixa c/4,1,45
Eudora,Instance,Sabonetes sortidos,Sabonete,caixa c/4,7,"32,99"
Eudora,Instance,Rosa absoluta,Sabonete,caixa c/4,1,"32,99"
Eudora,Instance,Bacio di Latte,Sabonete,caixa c/4,2,"34,99"
Eudora,Instance,Maracujá,Sabonete,caixa c/4,1,"32,99"
O Boticário,Cuide-se Bem,Nuvem de Alegria,Sabonete,Caixa c/4,1,"36,9"
O Boticário,Cuide-se Bem,Boa Noite,Sabonete,Caixa c/4,1,"36,9"
O Boticário,Cuide-se Bem,Rosa e Algodão,Sabonete,Caixa c/4,2,"36,9"
O Boticário,Cuide-se Bem,Sortidos,Sabonete,Caixa c/4,3,"36,9"
O Boticário,Cuide-se Bem,Pessegura,Sabonete,Caixa c/4,3,"36,9"
O Boticário,Lily,Jabon Perfumado,Sabonete,Caixa c/2,2,"54,9"
Natura,Todo Dia,Cereja e Avelã,Sabonete,Caixa c/2,1,"18,9"
Eudora,Instance,Doce Fino,Sabonete,Caixa c/3,1,25
Eudora,Instance,Velvet Cristal,Sabonete,Caixa c/3,1,25
Eudora,Intense,La Victorie,Sabonete,Caixa c/2,1,"19,9"
Natura,Ekos,Cacau,Sabonete,Caixa c/4,1,"45,9"
Natura,Todo Dia,Macadâmia,Sabonete,Hidratante + Body Splash,2,180
Natura,Todo Dia,Algodão,Kit,Hidratante + Body Splash + Hidratante,2,180
Natura,Todo Dia,Flor de Pêssego,Kit,Hidratante + Body Splash + Creme p/ Maos + Sabonete,1,180
